question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
The stiffness of the bristles of a nylon toothbrush is dependent on the:,Diameter and length of filament,opa,Diameter and length of filament,Amount of polish of filament,Colour of filament,Consistency of shape of the filament,The stiffness of the bristles of a nylon toothbrush is dependent on the: Diameter and length of filament. ,Dental,stiffness bristles nylon toothbrush dependent
Campbell's lines are seen in:,Occipitomental,opc,Transorbital,Transpharyngeal,Occipitomental,Transcranial,Campbell's lines are seen in: Occipitomental. ,Radiology,Campbell lines seen
Free gingival groove represents,Histologic depth of gingival sulcus,opa,Histologic depth of gingival sulcus,False pocket depth,Depth of gingival sulcus,None of the above,Free gingival groove represents Histologic depth of gingival sulcus. ,Dental,Free gingival groove represents
All of the following are true regarding oxygenases except :,Required for carboxylation of drugs,opd,Incorporate 2 atoms of oxygen,Incorporate 1 atom of oxygen,Required for hydroxylation of steroids,Required for carboxylation of drugs,"All of the following are true regarding oxygenases except : Required for carboxylation of drugs. Here is an additional explanation: Ans. d. Required for carboxylation reaction (Ref Harper 2R/e p9R-102: Lehninger 5/e p8l 6).Oxygenase (which belongs to oxido-reductase class) cause incorporation of 2 atoms of 0, (dioxygenase) or 1 atom of 02 (monoxygenase or hydroxylase). Carboxylase enzyme, which belongs to ligase class is required for carboxylation.Cytochromes P450 are (heme containing) monoxygenasesdeg which take pa in hydroxylase cycledeg (NADH, NADPH and Fe2 S2 required), detoxify drugs in liver microsomesdeg (with cytochrome b5, Fe2 S2 not required).",Biochemistry,following true regarding oxygenases except
In females adrenal glands are the exclusive source for secretion of?,DHEAS,opc,Estrogen,Testosterone,DHEAS,Progesterone,"In females adrenal glands are the exclusive source for secretion of? DHEAS. Here is an additional explanation: Adrenal Androgens:- Adrenal gland exclusively secretes DHEA (DEHYDROEPIANDROSTERONE) from adrenal coex, especially during fetal life. It also secretes progesterone & oestrogens in minute quantity, which are female sex hormones, but they primarily come from ovaries. Testosterone in females comes from both ovaries and adrenal glands, but majority from ovaries.",Physiology,females adrenal glands exclusive source secretion
What is the dose of adrenaline in anaphylactic shock?,0.5 ml in 1:1000,opa,0.5 ml in 1:1000,0.5 ml in 1:10000,1 ml in 1:1000,1.5 ml in 1:1000,"What is the dose of adrenaline in anaphylactic shock? 0.5 ml in 1:1000. Here is an additional explanation: Ans. A. 0.5 ml in 1:1000Severe hypersensitivity reactions, anaphylactic shockIM Injection:* Adults: The usual dose is 500 micrograms (0.5ml of adrenaline 1/1000). If necessary, this dose may be repeated several times at 5-minute intervals according to blood pressure, pulse and respiratory function.* Half doses of adrenaline may be safer for patients who are taking amitriptyline, imipramine or a beta blocker.Paediatric population:* The following doses of adrenaline 1/1,000 are recommended:AgeDoseOver 12 years0.5 mg IM (0.5ml 1:1000 solution)6 - 12 years0.3 mg IM (0.3ml 1:1000 solution)6 months - 6 years0.15 mg IM (0.15ml 1:1000 solution)Under 6 months0.01mg/kg IM (0.01ml/kg 1:1000 solution)* If necessary, these doses may be repeated at 5-15 -minute intervals according to blood pressure, pulse and respiratory function.",Pharmacology,dose adrenaline anaphylactic shock
Which combination forms day care anesthesia,"Fentanyl, propofol, Isoflurane",opa,"Fentanyl, propofol, Isoflurane","Pethidine, Propofol, Isoflurane","Thiopental pethidime, Halothane","Thiopentane, isoflurane fantanyt","Which combination forms day care anesthesia Fentanyl, propofol, Isoflurane. ",Surgery,combination forms day care anesthesia
CEREC AC which is true,LED is used,opc,Creates the image by video recording,Laser beam is used,LED is used,Composite metal resin alloy etc,CEREC AC which is true LED is used. ,Dental,CEREC AC true
All are used for postpaum hemorrhage except -,Dinoprostone,opb,Misoprostol,Dinoprostone,Prostaglandin F2 alpha,Oxytocin,"All are used for postpaum hemorrhage except - Dinoprostone. Here is an additional explanation: Ans. B. DinoprostonePostpaum hemorrhage, the loss of more than 500 mL of blood after delivery, occurs in up to 18 percent of bihs and is the most common maternal morbidity in developed countries. Dinoprostone:Naturally occurring prostaglandin E2 (PGE2). It has impoant effects in labour.It also stimulates osteoblasts to release factors which stimulates bone resorption by osteoclasts.As a prescription drug it is used as a vaginal suppository, to prepare the cervix for labour and to induce labour. Indication:For the termination of pregnancy during the second trimester (from the 12th through the 20th gestational week as calculated from the first day of the last normal menstrual period), as well as for evacuation of the uterine contents in the management of missed aboion or intrauterine fetal death up to 28 weeks of gestational age as calculated from the first day of the last normal menstrual period.In the management of nonmetastatic gestational trophoblastic disease (benign hydatidiform mole).Other indications include improving the cervical inducibility (cervical ""ripening"") in pregnant women at or near term with a medical or obstetrical need for labor induction, and the management of postpaum hemorrhage.",Pharmacology,used postpaum hemorrhage except
Ratio of polymer to monomer in cold cure resin,3:1 by volume and 2:1 by weight,opa,3:1 by volume and 2:1 by weight,3:1 by weight and 2:1 by volume,2:1 by volume and 2:1 by weight,3:1 by volume and 3:1 by weight,"Ratio of polymer to monomer in cold cure resin 3:1 by volume and 2:1 by weight. Here is an additional explanation: When the powder and liquid components are mixed in the proper proportions, a doughlike mass results. Commercial products generally use a polymer-to-monomer ratio of approximately 3:1 by volume.",Dental,Ratio polymer monomer cold cure resin
"According to WHO classification of periapical pathology, 4.81 means:",Residual cyst,opc,Periapical cyst,Lateral cyst,Residual cyst,Inflammatory periodontal cyst,"According to WHO classification of periapical pathology, 4.81 means: Residual cyst. Here is an additional explanation: WHO Classification:

Ko 4.4 Acute Apical Periodontitis
Ko 4.5 Chronic Apical Periodontitis
Ko 4.6 Periapical Abscess with sinus formation
	
4.60 Sinus to maxillary antrum
4.61 Sinus to nasal floor
4.62 Sinus to oral cavity
4.63 Sinus to outer skin of face


Ko 4.7 Periapical Abscess without sinus
Ko 4.8 Periapical cyst
	
4.80 Apical / lateral cyst
4.81 Residual cyst
4.82 Inflammatory paradental cyst.",Dental,According classification periapical pathology means
Termination of diseases by extermination of micro organisms is?,Eradication,opa,Eradication,Control,Elimination,Regional elimination,Termination of diseases by extermination of micro organisms is? Eradication. ,Dental,Termination diseases extermination micro organisms
Which TCA intermediate is used in haem synthesis:,Succinyl CoA,opd,Fumarate,Alpha keto gluterate,Malate,Succinyl CoA,"Which TCA intermediate is used in haem synthesis: Succinyl CoA. Here is an additional explanation: Solutions: - The first step of haem synthesis uses succinyl CoA which is intermediate to TCA. Fumarate, Alpha keto gluterate and malate (4C) is also intermediate to TCA. Malonate (3C) or malonyl CoA is inhibitor of 3 pathways in body - Succinate DH of TCA - Complex 2 of ETC - Beta oxidation of Fatty acid Acetyl CoA is not an intermediate of TCA. Haem synthesis It occurs in Mitochondria + cytoplasm (So, doesn't occurs in RBC)",Biochemistry,TCA intermediate used haem synthesis
Presence of glucose in urine indicates:,Renal threshold for glucose is exceeded,opc,Patient suffers from diabetes insipidus,Patient has consumed excess sugar over long years,Renal threshold for glucose is exceeded,None of the above,Presence of glucose in urine indicates: Renal threshold for glucose is exceeded. ,Medicine,Presence glucose urine indicates
What among the following is the use of this?,Prevent transfusion related reactions,opb,Prevent viral infections,Prevent transfusion related reactions,Prevent bacterial contamination,Prevent blood mismatch,What among the following is the use of this? Prevent transfusion related reactions. Here is an additional explanation: The picture given above shows the WBC filter. | WBC's entering the body of the recipient | are the chances of development of transfusion related reactions. Purpose of having this kind of filter is that: - lesser chances of entry of WBC inside the body of the host. - Prevent the entry of (Cell) aggregates inside the body of the recipient. The size of the WBC filters can range from 170- 200m. The size of the transfusion needle is 18-19 gauge.,Pathology,among following use
"A cell membrane is damaged by inseion of a micro needle, repair shall occur by which of the following process?",Lateral movement of proteins,opa,Lateral movement of proteins,Enzyme catalysed process,Hydrophobic interactions,An active process involving hydrolysis of ATP,"A cell membrane is damaged by inseion of a micro needle, repair shall occur by which of the following process? Lateral movement of proteins. Here is an additional explanation: Ans. a. Lateral movement of proteins (Ref Harper 29/e p464, Ganong 24/e p36)Harper says 'Another indicator of the dynamic nature of membranes is that a variety of studies have shown that lipids and ceain proteins exhibit lateral diffusion in the plane of their membranes",Physiology,cell membrane damaged inseion micro needle repair shall occur following process
The common complication of the local anesthetic prilocaine is:,Methemoglobinemia,opc,Agranulocytosis,Hepatic dysfunction,Methemoglobinemia,Loss of taste,The common complication of the local anesthetic prilocaine is: Methemoglobinemia. ,Surgery,common complication local anesthetic prilocaine
Cross sectional from and dimension of lingual bar major connector is:,6 gauge half pear shape,opb,4 gauge full pear shape,6 gauge half pear shape,6 gauge round shape,gauge flat,Cross sectional from and dimension of lingual bar major connector is: 6 gauge half pear shape. ,Dental,Cross sectional dimension lingual bar major connector
"A 22 year old college boy with history of sex with commercial workers came to Derma OPD with lesion in genital region, tissue from this lesion was examined, which is the most likely finding?",Intracytoplasmic vacuolations,opa,Intracytoplasmic vacuolations,Multinucleated giant cells,Belongs to Herpes family,It's a RNA virus,"A 22 year old college boy with history of sex with commercial workers came to Derma OPD with lesion in genital region, tissue from this lesion was examined, which is the most likely finding? Intracytoplasmic vacuolations. Here is an additional explanation: MOLLUSCUM CONTAGIOSUM VIRUS It is an obligate human pox Virus that produces characteristic skin lesions. Clinical Manifestations Pink pearly wa-like lesions (2-5 mm size),umbilicated with a characteristic dimple at the centre. Lesions are characterized by: - Lack of associated inflammation and necrosis - Found singly or in clusters Distribution: lesions are found anywhere on the body except on palms and soles. Genital lesions are seen in adults Molluscum bodies are the Intracytoplasmic Eosinophilic inclusions seen in skin scrapings stained with histopathological stains.",Microbiology,year old college boy history sex commercial workers came Derma OPD lesion genital region tissue lesion examined likely finding
Which of the following is advantage of sub-marginal flop?,Cause less gingival shrinking,opa,Cause less gingival shrinking,Cause Less scars,Less intra-operative bleeding,None of the above,Which of the following is advantage of sub-marginal flop? Cause less gingival shrinking. ,Dental,following advantage flop
Glossy smooth margins of a casting are due to:,Incomplete wax elimination,opc,Shrinkage of alloy on cooling,Investment breakdown,Incomplete wax elimination,Incomplete gas elimination,Glossy smooth margins of a casting are due to: Incomplete wax elimination. ,Dental,Glossy smooth margins casting due
What is the working time of zinc polycarboxylate cement?,3 minutes,opc,1 minute,2 minutes,3 minutes,4 minutes,"What is the working time of zinc polycarboxylate cement? 3 minutes. Here is an additional explanation: Control of Working Time

The working time for polycarboxylate cement is much shorter than that for zinc phosphate cement, approximately 2.5 versus 5 minutes.  
The graph shows the relative viscosities and working times of zinc phosphate, polycarboxylate, and GICs as they set. 
A cool slab lengthens the working time for zinc carboxylate cement, although it causes the polyacrylic acid to thicken, which hinders mixing. 
Refrigerating the powder is useful, because it retards the reaction without raising the viscosity of the liquid.
Polycarboxylate cements are more viscous than a comparable mix of GIC; however, the polycarboxylate mix undergoes thinning at an increased shear rate. 
Clinically, this means that rapid spatulation and fast seating will reduce the viscosity of the polycarboxylate cement to ensure complete seating.",Dental,working time zinc polycarboxylate cement
Risk factors for Coronary artery disease are all except,Alcohol consumption,opd,Smoking,Increased fibrinogen level,Hypertension,Alcohol consumption,Risk factors for Coronary artery disease are all except Alcohol consumption. ,Medicine,Risk factors Coronary artery disease except
"In esophageal varices bleeding, which of the following is not used?",Platelet transfusion,opc,Endoscopy banding,Octreotide,Platelet transfusion,TIPS,"In esophageal varices bleeding, which of the following is not used? Platelet transfusion. Here is an additional explanation: Answer- C. Platelet transfusionBeta-blockersEndoscopic sclerotherapyEndoscopic variceal ligation (banding)A medication called octreotide - will lower the pressure in the swollen veins by tightening the blood vessels and reducing blood flow.Transjugular intrahepatic poosystemic shunt (TIPS) procedure is another potential treatment option for recurrent bleeding esophageal varices",Surgery,esophageal varices bleeding following used
Posterior pituitary insufficiency leads to:,Diabetes insipidus,opb,Diabetes mellitus,Diabetes insipidus,Dwarfism,Cretinism,"Posterior pituitary insufficiency leads to: Diabetes insipidus. Here is an additional explanation: ADH SYNTHESIS IN SUPRAOPTIC AND PARAVENTRICULAR NUCLEI OF THE HYPOTHALAMUS AND ADH RELEASE FROM THE POSTERIOR PITUITARY
Figure shows the neuroanatomy of the hypothalamus and the pituitary gland, where ADH is synthesized and released. The hypothalamus contains two types of magnocellular (large) neurons that synthesize ADH in the supraoptic and paraventricular nuclei of the hypothalamus, about five sixths in the supraoptic nuclei and about one sixth in the paraventricular nuclei. Both of these nuclei have axonal extensions to the posterior pituitary.
The most important renal action of ADH is to increase the water permeability  of  the  distal  tubule,  collecting  tubule, and collecting duct epithelia. This effect helps the body to conserve water in circumstances such as dehydration. In the absence of ADH, the permeability of the distal tubules and collecting ducts to water is low, causing the kidneys to excrete large amounts of dilute urine, a condition called diabetes insipidus. Thus, the actions of ADH play a key role in controlling the degree of dilution or concentration of the urine.",Physiology,Posterior pituitary insufficiency leads
All are used in preterm labour to decrease uterine contractility except:,Dexamethasone,opd,Methyl alcohol,Ritodrine,Magnesium sulphate,Dexamethasone,All are used in preterm labour to decrease uterine contractility except: Dexamethasone. ,Gynaecology & Obstetrics,used preterm labour decrease uterine contractility except
Site specificity is seen in:,Recurrent herpes Labialis,opb,Syphilis,Recurrent herpes Labialis,Carcinoma,Traumatic aphthous ulcer,Site specificity is seen in: Recurrent herpes Labialis. ,Pathology,Site specificity seen
Remodelling theory of craniofacial growth was given by,Brash,opa,Brash,John hunter,Vander Klauuw,Sicher & Weinmann,Remodelling theory of craniofacial growth was given by Brash. ,Dental,Remodelling theory craniofacial growth given
"10-year-old boy visits dentist with complicated crown fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?",Revascularization in 12 and RCT of 11,opb,Apexification of 12 and RCT of 11,Revascularization in 12 and RCT of 11,RCT of 12 and 11,Extraction of 12 and RCT in 11,"10-year-old boy visits dentist with complicated crown fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient? Revascularization in 12 and RCT of 11. Here is an additional explanation: Since 11 is mature and has complete root formation, RCT will be preferred for this tooth.
Due to immature status of 12 as evident from blunder- buss canal revascularization should be attempted for this tooth.",Dental,boy visits dentist complicated crown fracture abscess formation reveals radiolucency relation immature blunderbuss canal complete root formation vitality negative would management patient
Lymphocytes found in the pulp proper are:,T lymphocytes,opa,T lymphocytes,B lymphocytes,Both,None,"Lymphocytes found in the pulp proper are: T lymphocytes. Here is an additional explanation: Lymphocytes, both T and B, are found in cell-rich zone and function in an immune capacity of the pulp.
But in pulp-proper zone, only T-lymphocytes are present.",Dental,Lymphocytes found pulp proper
"A 2 months old child was brought to the subcenter by his mother with complaints of fever for two days. Weight of the child is 2 kg. On examination, the child is restless and irritable, skin pinch went back in 2 seconds, oral mucosa is dry and eyes were sunken. There were ten pustules on his forehead. What should be done at the subcenter?",Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way.,opc,Refer to higher center with mother giving frequent sips of ORS.,"Immediately admit the child, give IV fluids and then refer to higher center.",Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way.,Send child home with few packets of ORS and call after 3 days.,"A 2 months old child was brought to the subcenter by his mother with complaints of fever for two days. Weight of the child is 2 kg. On examination, the child is restless and irritable, skin pinch went back in 2 seconds, oral mucosa is dry and eyes were sunken. There were ten pustules on his forehead. What should be done at the subcenter? Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way.. Here is an additional explanation: Ans: C. Give first dose of antibiotic and refer to higher center in an ambulance with sips of ORS along the way.(Ref .Ghai 8th/e p752-753: IMNCI Guidelines).Multiple signs of possible serious bacterial infection (10 skin pustules, diarrhea with severe dehydration & weight = 2 kg which is <-3SD).Hence, child should be immediately given first dose of injectable antibiotic, kept warm & referred to hospital with sips of ORS along the way",Pediatrics,months old child brought subcenter mother complaints fever two days Weight child kg examination child restless irritable skin pinch went back seconds oral mucosa dry eyes sunken ten pustules forehead done subcenter
"In a left skewed curve, true statement is:",Mean < Mode,opb,Mean = Median,Mean < Mode,Mean >Mode,Mean = Mode,"In a left skewed curve, true statement is: Mean < Mode. ",Dental,left skewed curve true statement
Which of the following are seen in ectodermal dysplasia?,Any of the above,opd,Hyperpyrexia,Protuberant lips and frontal bossing,Defective or absence of sweat glands,Any of the above,"Which of the following are seen in ectodermal dysplasia? Any of the above. Here is an additional explanation: Hyper pyrexia due to hypohidrosis, hypotrichosis, hypodontia, protuberant lips and depressed nasal and supraorbital bridges are important features of ectodermal dysphasia",Pathology,following seen ectodermal dysplasia
A 60-year-old has got severe bulla and target lesion which erythema around halo and genital lesions:,Stevens Jhonson syndrome,opa,Stevens Jhonson syndrome,Herpes zoster,Herpes simplex,Herpangina,"A 60-year-old has got severe bulla and target lesion which erythema around halo and genital lesions: Stevens Jhonson syndrome. Here is an additional explanation: Stevens — Johnson syndrome is very severe bullous form of erythema multiformae and is characterized by oral, ocular and genital lesions.",Pathology,got severe bulla target lesion erythema around halo genital lesions
A patient comes to ER with headache describing it as worst headache in his life. What is the next step?,CT brain,opa,CT brain,Lumbar puncture,MRI brain,Observation and analgesics,"A patient comes to ER with headache describing it as worst headache in his life. What is the next step? CT brain. Here is an additional explanation: Worst headache of my life s/o SAH Any intracranial bleeding, we need to do NCCT Shows blood in syln fissure from MCA (Middle cerebral aery) Lumbar puncture- C/I as patient may be having | ICT",Medicine,patient comes ER headache describing worst headache life next step
"According to Vertucci’s classification of root canal, the fig shows:",Type V,opc,Type III,Type IV,Type V,Type VI,"According to Vertucci’s classification of root canal, the fig shows: Type V. ",Dental,According Vertucci classification root canal fig shows
"In SCHWARTZ formula for calculation of creatinine clearance in a child, the constant depends on the following except –",Severity of renal failure,opd,Age,Method of estimation of creatinine,Mass,Severity of renal failure,"In SCHWARTZ formula for calculation of creatinine clearance in a child, the constant depends on the following except – Severity of renal failure. Here is an additional explanation: Schwartz formula (for creatine clearance in child).

Creatinine clearance = K x height./ creatinine.
K = constant

K depends upon --> Age, Muscle mass, Method of creatinine estimation",Pediatrics,SCHWARTZ formula calculation creatinine clearance child constant depends following except
Pulpal medication and thermal protection is given by,Traditional Liner (0.2-0.3 mm),opc,Solution liners (2-5 μm),Suspension Liners (25-30 μm),Traditional Liner (0.2-0.3 mm),Cement bases,Pulpal medication and thermal protection is given by Traditional Liner (0.2-0.3 mm). ,Dental,Pulpal medication thermal protection given
Epstein pearls are:,Gingival cyst of newborn,opa,Gingival cyst of newborn,Gingival cyst of adult,Enamel pearls,Epithelial rests,Epstein pearls are: Gingival cyst of newborn. ,Pathology,Epstein pearls
"White flecks yellow or brown spots on surface of teeth covering, giving papery white appearance",Mottled enamel,opa,Mottled enamel,Incipient caries,Dental stains,Smooth caries,"White flecks yellow or brown spots on surface of teeth covering, giving papery white appearance Mottled enamel. ",Dental,White flecks yellow brown spots surface teeth covering giving papery white appearance
Adult stage of filarial worms responsible for diseases in all of the following except:,Onchocerca volvulus,opb,Brugia malayi,Onchocerca volvulus,Mansonella ozzardi,Wuchereria bancrofti,"Adult stage of filarial worms responsible for diseases in all of the following except: Onchocerca volvulus. Here is an additional explanation: Ans: B. Onchocerca volvulus Adult stage of Onchocerca volvulus filarial worms does not cause any illness or disease.Onchocerciasis:Primarily affects skin, eyes & lymph nodes.In contrast to pathology in lymphatic filariasis, onchocerciasis damage elicited by microfilariae & not by adult parasites.Onchocerca microfilariae:Released from female worms causing most severe damage.Migrating microfilariae (exclusively found in interstitial fluids of skin & subdermal tissues not bloodstream).Cause changes in skin pigment & loss of elastic fibers a ""hanging groin, severe intractable & intolerable pruritus.Blindness (primarily men) develops over many years - Due to microfilariae accumulation in vitreous humor.Are not blood borne & hence, concentrate & remain in eye.Visual clouding, photophobia & ultimately retinal damage a Incurable blindness.(Ref: Harrison 19/e p1420).",Microbiology,Adult stage filarial worms responsible diseases following except
"Tooth in the mandibular arch which is most likely to be
displaced due to arch size discrepancy is",Second premolar,opd,First molar,Second molar,First premolar,Second premolar,"Tooth in the mandibular arch which is most likely to be
displaced due to arch size discrepancy is Second premolar. Here is an additional explanation: Mandibular 2nd premolar is the most likely tooth to be displaced due to arch size discrepancy.",Dental,Tooth mandibular arch likely displaced due arch size discrepancy
Inferiohyroid aery is a branch ol?,Thyrocervical trunk,opa,Thyrocervical trunk,ICA,Costocervical trunk,ECA,"Inferiohyroid aery is a branch ol? Thyrocervical trunk. Here is an additional explanation: Ans. A. Thyrocervical trunkRef: Grays Anatomy,4Ia ed., pg. 455458Inferior thyroid aery is branch of thyrocervical trunk of subclan aery.The thyrocervical trunk arises fiom the front of the first pa of the subclan aery near the medial border of scalenus anterior, and divides into the inferior thyroid, suprascapular and superficial cervical aeries.",Anatomy,Inferiohyroid aery branch ol
Secondary flare provides a marginal metal of:,30-40 degrees,opb,10-20 degrees,30-40 degrees,140-150 degrees,None of the above,"Secondary flare provides a marginal metal of: 30-40 degrees. Here is an additional explanation: Secondary flare:
It is a flat plane superimposed peripherally to the primary flare. Advantages are:

Secondary flare ensures cavosurface margins to extend into embrasures (self-cleansing area).
Permits easy burnishing and finishing of the restoration.
Produces more obtuse-angled and stronger cavosurface margin.

In class II cast gold inlay, proximal box should have flares so as to have metal of 30-40° which is burnishable.",Dental,Secondary flare provides marginal metal
A patient comes to a dentist with decayed mandibular 1st molar which involves the mesiobuccal and distobuccal cusp. The restoration of choice is:,Cast metal,opc,Intermediate restoration,Composite,Cast metal,GIC,"A patient comes to a dentist with decayed mandibular 1st molar which involves the mesiobuccal and distobuccal cusp. The restoration of choice is: Cast metal. Here is an additional explanation: The cast-metal inlay is an alternative to amalgam or composite when the higher strength of a casting alloy is needed or when the superior control of contours and contacts that the indirect procedure provides is desired. The cast-metal onlay is often an excellent alternative to a crown for teeth that have been greatly weakened by caries or by large, failing restorations but where the facial and lingual tooth surfaces are relatively unaffected by disease or injury. For such weakened teeth, the superior physical properties of a casting alloy are desirable to withstand the occlusal loads placed on the restoration; also the onlay can be designed to distribute occlusal loads over the tooth in a manner that decreases the chance of tooth fracture in the future.
Sturdevant operative dentistry 7th Edition, Page No:e94",Dental,patient comes dentist decayed mandibular molar involves mesiobuccal distobuccal cusp restoration choice
Marathon runner had pain in anteromedial tibia on regular walking/jogging for long hours. X ray is normal. Doctor orders a bone scan. What may be the probable diagnosis,Shin splint,opb,Jones fracture,Shin splint,Lisfranc fracture,Nutcracker,"Marathon runner had pain in anteromedial tibia on regular walking/jogging for long hours. X ray is normal. Doctor orders a bone scan. What may be the probable diagnosis Shin splint. Here is an additional explanation: Answer: B. Shin splintShin splints (medial tibial stress syndrome) is an inflammation of the muscles, tendons, and bone tissue around your tibia.Pain typically occurs along the inner border of the tibia, where muscles attach to the bone.Shin splint pain most often occurs on the inside edge of your tibia",Surgery,Marathon runner pain anteromedial tibia regular long hours X ray normal Doctor orders bone scan may probable diagnosis
Radiographic finding in Pindborg tumour is,Driven-snow appearance,opc,burst appearance,Onion-peel appearance,Driven-snow appearance,Cherry-blossom appearance,Radiographic finding in Pindborg tumour is Driven-snow appearance. ,Pathology,Radiographic finding Pindborg tumour
Risk of endocarditis is more in all   in all of the following lesions except:,ASD.,opd,VSD.,MR.,AR.,ASD.,"Risk of endocarditis is more in all   in all of the following lesions except: ASD.. Here is an additional explanation: Risk of endocarditis is less in low pressure lesions like Atrial septal defect (ASD) while it is more in high pressure lesions like ventricular septal defect (VSD), mitral regurgitation and aortic regurgitation.",Medicine,Risk endocarditis following lesions except
"The green stains frequently seen on children's teeth are
caused by",Chromogenic bacteria,opd,Materia alba,Enamel defects,Dentinal defects,Chromogenic bacteria,"The green stains frequently seen on children's teeth are
caused by Chromogenic bacteria. ",Dental,green stains frequently seen children teeth caused
"At low infusion rates of 3-5 mcg/kg/min, what action is produced by dopamine?",Increased renal blood flow,opb,Vasoconstriction,Increased renal blood flow,Increased cardiac contractility,Decreased blood pressure,"At low infusion rates of 3-5 mcg/kg/min, what action is produced by dopamine? Increased renal blood flow. Here is an additional explanation: Ans: B. Increased renal blood flow(Ref: Goodman Gilman 12/e p355; KDT 7/e p134. 6/e p507)Action of dopamine:At low concentrations (2 to 5 mcg/kg per minute):Primarily acts on vascular D1 receptors.Mainly renal, mesenteric & coronary beds.By activating adenylyl cyclase a raising intracellular cyclic AMP concentrations.D1 receptor stimulation a Vasodilation.Increases in glomerular filtration rate, renal blood flow & Nat+ K+ - ATPase pump.",Pharmacology,low infusion rates action produced dopamine
Posselt's diagram indicates?,Motion of mandible,opa,Motion of mandible,Protrusive relation of central incisor,Antero-superior relation of condyle in articular fossa in CR,None of the above,Posselt's diagram indicates? Motion of mandible. ,Dental,Posselt diagram indicates
Which is the most common site for fracture in zygomatic arch fracture?,Posterior to zygomaticotemporal suture,opc,At the suture,Anterior to zygomaticotemporal suture,Posterior to zygomaticotemporal suture,None of the above,Which is the most common site for fracture in zygomatic arch fracture? Posterior to zygomaticotemporal suture. ,Surgery,common site fracture zygomatic arch fracture
While taking final impression tray should be seated first:,Anteriorly,opa,Anteriorly,Posteriorly,Anteriorly or posteriorly depending upon operators choice,Anteriorly and posteriorly simultaneously,While taking final impression tray should be seated first: Anteriorly. ,Dental,taking final impression tray seated first
"Following bilateral mandibular fracture in the canine region, the following muscles will tend to pull the mandible back:",Genioglossus and anterior belly of digastric,opa,Genioglossus and anterior belly of digastric,Genioglossus and mylohyoid,Genioglossus and thyrohyoid,Genioglossus and masseter,"Following bilateral mandibular fracture in the canine region, the following muscles will tend to pull the mandible back: Genioglossus and anterior belly of digastric. ",Surgery,Following bilateral mandibular fracture canine region following muscles tend pull mandible back
The anemia associated with leukemia,Myelophthisic type,opc,Iron deficiency,Megaloblastic type,Myelophthisic type,All of the above,The anemia associated with leukemia Myelophthisic type. ,Medicine,anemia associated leukemia
To regain arch length in anterior segment by moving incisors labially,Cephalometric analysis have to be made before taking up treatment,opa,Cephalometric analysis have to be made before taking up treatment,Use tongue blade therapy 20 times 1 day,Use of 7 spring with Hawley's retainer,Use on anterior bite plane,To regain arch length in anterior segment by moving incisors labially Cephalometric analysis have to be made before taking up treatment. ,Dental,regain arch length anterior segment moving incisors labially
"According to scientists, recent studies says about the pattern of enamel prism demineralization, true is:",Tail is more resistant to dissolution,opd,Head and tail both are resistant to dissolution,Head and tail both are not resistant to dissolution,Head is more resistant to dissolution,Tail is more resistant to dissolution,"According to scientists, recent studies says about the pattern of enamel prism demineralization, true is: Tail is more resistant to dissolution. Here is an additional explanation: Enamel is mainly composed of millions of enamel rods or prisms, sheaths and a cementing inter rod substance.
Each rod has a head and tail. 
The head is directed occlusally and the tail is directed cervically. 
Basically, acid etching creates a 5 to 50 micron deep microporous layer into which adhesive resin flows. 
This results in a long-lasting enamel bond achieved via micromechanical interlocking between the resin and enamel.
Etching produces irregular and pitted surface with numerous microscopic undercuts with uneven dissolution of heads and tails, the latter being more resistant.

Ref: Textbook of Operative Dentistry, Nisha and Amit Garg, 3rd edition, Pg no:28,237",Dental,According scientists recent studies says pattern enamel prism demineralization true
Central value of a set of 180 values can be obtained by,2nd quartile,opc,2nd tertile,90th percentile,2nd quartile,9th decile,"Central value of a set of 180 values can be obtained by 2nd quartile. Here is an additional explanation: Quartile: Divides a distribution into 4 equal parts, so the number of intercepts required will be 3, i.e. Q1, Q2, Q3

– So, Zero – Q1 covers 25% values
– Similarly, Q2 – Q1, Q3 – Q2 and 100 – Q3 all cover 25% values each
– Thus, Q2 – Zero, 100 – Q2 and Q3 – Q1 all cover 50% values each
– Q1 divides a distribution in a ratio of 25 : 75 OR 1 : 3
– Q2 divides a distribution in a ratio of 50 : 50 OR 1 : 1, Thus second quartile is equivalent to median
– Q3 divides a distribution in a ratio of 75 : 25 OR 3 : 1.
In the given question, n = 180
Thus Q2 which is equivalent to median, divides a distribution in a ratio of 50 : 50 OR 1 : 1.",Social & Preventive Medicine,Central value set values obtained
